title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,na_sales_proportion,jp_sales_proportion,pal_sales_proportion,other_sales_proportion
Monster Hunter Stories,3DS,Role-Playing,Capcom,Marvelous,8.1,0.7,0.14,0.39,0.15,0.03,2017-09-08,0.20000000000000004,0.5571428571428572,0.2142857142857143,0.04285714285714286
Chocobo's Dungeon 2,PS,Role-Playing,Square EA,SquareSoft,6.2,0.7,0.04,0.58,0.03,0.05,1999-11-30,0.05714285714285715,0.8285714285714285,0.04285714285714286,0.07142857142857144
Ape Escape: On the Loose,PSP,Platform,Sony Computer Entertainment,SIMS,6.6,0.7,0.52,0.12,0.01,0.05,2005-03-22,0.7428571428571429,0.17142857142857143,0.014285714285714287,0.07142857142857144
Ace Attorney Investigations: Miles Edgeworth,DS,Adventure,Capcom,Capcom,7.7,0.7,0.23,0.3,0.14,0.04,2010-02-16,0.3285714285714286,0.4285714285714286,0.20000000000000004,0.05714285714285715
Classic NES Series: Zelda II: The Adventure of Link,GBA,Adventure,Nintendo,Nintendo EAD,6.6,0.7,0.37,0.17,0.14,0.01,2004-10-25,0.5285714285714286,0.24285714285714288,0.20000000000000004,0.014285714285714287
James Bond 007: Blood Stone,PS3,Action,Activision,Bizarre Creations,6.2,0.7,0.18,0.02,0.37,0.12,2010-11-02,0.2571428571428572,0.028571428571428574,0.5285714285714286,0.17142857142857143
The Sly Collection,PS3,Platform,Sony Computer Entertainment,Sanzaru Games,8.7,0.69,0.52,0.01,0.08,0.08,2010-11-09,0.7536231884057972,0.014492753623188408,0.11594202898550726,0.11594202898550726
Mario Party: The Top 100,3DS,Party,Nintendo,"Nd Cube Co., Ltd.",5.0,0.69,0.23,0.24,0.17,0.04,2017-11-10,0.33333333333333337,0.34782608695652173,0.24637681159420294,0.05797101449275363
Fortnite,NS,Shooter,Warner Bros. Interactive Entertainment,Epic Games,8.5,0.69,0.38,0.01,0.24,0.06,2018-11-16,0.5507246376811594,0.014492753623188408,0.34782608695652173,0.08695652173913043
Metal Gear Solid: Portable Ops Plus,PSP,Action,Konami,Kojima Productions,6.9,0.69,0.26,0.26,0.01,0.17,2007-11-13,0.3768115942028986,0.3768115942028986,0.014492753623188408,0.24637681159420294
The Evil Within,XOne,Misc,Bethesda Softworks,Tango Gameworks,7.9,0.69,0.36,0.0,0.27,0.06,2014-10-14,0.5217391304347826,0.0,0.39130434782608703,0.08695652173913043
Bushido Blade 2,PS,Fighting,Square EA,Light Weight,7.5,0.68,0.25,0.22,0.17,0.04,1998-02-28,0.3676470588235294,0.32352941176470584,0.25,0.058823529411764705
F1 2015,PS4,Racing,Codemasters,Codemasters Birmingham,5.9,0.68,0.1,0.04,0.45,0.1,2015-07-21,0.14705882352941177,0.058823529411764705,0.6617647058823529,0.14705882352941177
.hack//Mutation Part 2,PS2,Role-Playing,Bandai,CyberConnect2,7.5,0.68,0.23,0.2,0.18,0.06,2003-05-07,0.338235294117647,0.29411764705882354,0.2647058823529411,0.08823529411764705
Rayman Legends,WiiU,Platform,Ubisoft,Ubisoft Montpellier,9.5,0.68,0.25,0.03,0.35,0.05,2013-09-03,0.3676470588235294,0.044117647058823525,0.5147058823529411,0.07352941176470588
Suikoden II,PS,Role-Playing,Konami,Konami,8.5,0.68,0.15,0.38,0.1,0.04,1999-09-29,0.2205882352941176,0.5588235294117647,0.14705882352941177,0.058823529411764705
Test Drive Unlimited 2,X360,Racing,Atari,Eden Studios,6.8,0.68,0.3,0.0,0.32,0.06,2011-02-08,0.4411764705882352,0.0,0.47058823529411764,0.08823529411764705
Hot Shots Golf: Open Tee 2,PSP,Sports,Sony Computer Entertainment,Clap Hanz,8.0,0.68,0.21,0.28,0.11,0.08,2008-06-03,0.30882352941176466,0.411764705882353,0.16176470588235292,0.11764705882352941
Diablo III: Eternal Collection,NS,Action,Blizzard Entertainment,Blizzard Entertainment,9.0,0.67,0.38,0.01,0.22,0.06,2018-11-02,0.5671641791044776,0.014925373134328358,0.3283582089552239,0.08955223880597014
Wild ARMs 2,PS,Role-Playing,Sony Computer Entertainment,Media.Vision,6.5,0.67,0.19,0.31,0.13,0.04,2000-04-30,0.2835820895522388,0.46268656716417905,0.19402985074626866,0.05970149253731343
Spider-Man 3,PS3,Platform,Activision,Treyarch,6.6,0.67,0.26,0.02,0.29,0.11,2007-05-04,0.3880597014925373,0.029850746268656716,0.4328358208955223,0.16417910447761194
Final Fantasy Crystal Chronicles: Ring of Fates,DS,Role-Playing,Square Enix,Square Enix,7.7,0.66,0.22,0.42,0.01,0.02,2008-03-11,0.3333333333333333,0.6363636363636364,0.015151515151515152,0.030303030303030304
Suikoden IV,PS2,Role-Playing,Konami,Konami Computer Entertainment Tokyo,6.3,0.66,0.17,0.3,0.13,0.05,2005-01-11,0.25757575757575757,0.45454545454545453,0.19696969696969696,0.07575757575757576
Shaun White Snowboarding,PS3,Sports,Ubisoft,Ubisoft Montreal,6.0,0.66,0.31,0.01,0.24,0.1,2008-11-16,0.46969696969696967,0.015151515151515152,0.3636363636363636,0.15151515151515152
Fist of the North Star: Ken's Rage,PS3,Action,Tecmo Koei,Tecmo Koei Games,4.8,0.66,0.06,0.55,0.03,0.01,2010-11-02,0.0909090909090909,0.8333333333333334,0.04545454545454545,0.015151515151515152
Castlevania: Lords of Shadow,X360,Action,Konami,Mercury Steam,7.9,0.66,0.42,0.01,0.17,0.05,2010-10-05,0.6363636363636364,0.015151515151515152,0.25757575757575757,0.07575757575757576
2014 FIFA World Cup Brazil,PS3,Sports,EA Sports,EA Canada,7.9,0.66,0.15,0.01,0.4,0.1,2014-04-15,0.22727272727272727,0.015151515151515152,0.6060606060606061,0.15151515151515152
F-Zero GX,GC,Racing,Nintendo,Amusement Vision,8.4,0.65,0.41,0.12,0.11,0.02,2003-08-26,0.6307692307692307,0.1846153846153846,0.1692307692307692,0.030769230769230767
LEGO City Undercover,NS,Platform,Warner Bros. Interactive Entertainment,TT Fusion,8.0,0.65,0.23,0.03,0.33,0.05,2017-04-04,0.35384615384615387,0.04615384615384615,0.5076923076923077,0.07692307692307693
007: Quantum of Solace,Wii,Shooter,Activision,Beenox,5.6,0.65,0.29,0.01,0.28,0.07,2008-11-04,0.4461538461538461,0.015384615384615384,0.4307692307692308,0.1076923076923077
Dead or Alive 5,PS3,Fighting,Tecmo Koei,Team Ninja,7.6,0.65,0.23,0.21,0.15,0.07,2015-02-17,0.35384615384615387,0.32307692307692304,0.23076923076923075,0.1076923076923077
Star Ocean: First Departure,PSP,Role-Playing,Square Enix,TOSE Software,7.5,0.65,0.2,0.22,0.14,0.09,2008-10-21,0.3076923076923077,0.3384615384615384,0.2153846153846154,0.13846153846153844
Sengoku Basara: Samurai Heroes,PS3,Action,Capcom,Capcom,6.1,0.64,0.17,0.4,0.04,0.02,2010-10-12,0.265625,0.625,0.0625,0.03125
Dragon Ball: Raging Blast 2,X360,Fighting,Namco Bandai,Spike,6.0,0.64,0.49,0.01,0.09,0.05,2010-11-02,0.765625,0.015625,0.140625,0.078125
New Play Control! Pikmin,Wii,Strategy,Nintendo,Nintendo EAD,7.7,0.64,0.28,0.19,0.13,0.04,2009-03-09,0.43750000000000006,0.296875,0.203125,0.0625
Lost Planet: Extreme Condition,PS3,Shooter,Capcom,Capcom,6.3,0.64,0.31,0.07,0.17,0.08,2008-02-26,0.484375,0.10937500000000001,0.265625,0.125
Castlevania,N64,Platform,Konami,KCEK,7.6,0.64,0.44,0.04,0.1,0.05,1999-01-26,0.6875,0.0625,0.15625,0.078125
Dead Island: Riptide,PS3,Action,Deep Silver,Techland,6.6,0.64,0.26,0.07,0.21,0.1,2013-04-23,0.40625,0.10937500000000001,0.328125,0.15625
LEGO The Incredibles,NS,Action,Warner Bros. Interactive Entertainment,Traveller's Tales,6.5,0.63,0.35,0.01,0.21,0.06,2018-06-15,0.5555555555555555,0.015873015873015872,0.3333333333333333,0.09523809523809523
NieR,PS3,Role-Playing,Square Enix,Cavia Inc.,6.6,0.63,0.17,0.2,0.19,0.07,2010-04-27,0.2698412698412699,0.3174603174603175,0.30158730158730157,0.11111111111111112
Shin Megami Tensei: Persona 3 FES,PS2,Role-Playing,Atlus,Atlus,8.7,0.63,0.22,0.16,0.2,0.05,2008-04-22,0.3492063492063492,0.25396825396825395,0.3174603174603175,0.07936507936507937
Ape Escape 2,PS2,Platform,Ubisoft,SCE Japan Studio,8.0,0.63,0.12,0.38,0.09,0.03,2003-06-30,0.19047619047619047,0.6031746031746031,0.14285714285714285,0.047619047619047616
Test Drive Unlimited 2,PS3,Racing,Atari,Eden Studios,6.9,0.63,0.16,0.01,0.35,0.11,2011-02-08,0.25396825396825395,0.015873015873015872,0.5555555555555555,0.1746031746031746
Tony Hawk's Project 8,PS3,Sports,Activision,Neversoft Entertainment,7.9,0.63,0.3,0.01,0.23,0.1,2006-11-17,0.47619047619047616,0.015873015873015872,0.3650793650793651,0.15873015873015875
White Knight Chronicles II,PS3,Role-Playing,D3 Publisher,Level 5,5.4,0.63,0.23,0.27,0.09,0.04,2011-09-13,0.3650793650793651,0.4285714285714286,0.14285714285714285,0.06349206349206349
Viewtiful Joe,GC,Action,Capcom,Clover Studio,9.4,0.62,0.38,0.12,0.1,0.02,2003-10-07,0.6129032258064516,0.1935483870967742,0.16129032258064518,0.03225806451612903
Phoenix Wright: Ace Attorney - Trials and Tribulations,DS,Adventure,Capcom,Capcom,7.9,0.62,0.3,0.25,0.03,0.03,2007-10-23,0.48387096774193544,0.40322580645161293,0.04838709677419355,0.04838709677419355
Donkey Kong Barrel Blast,Wii,Racing,Nintendo,Paon Corporation,4.8,0.62,0.19,0.11,0.26,0.06,2007-10-08,0.3064516129032258,0.1774193548387097,0.41935483870967744,0.0967741935483871
F1 2017,PS4,Racing,Deep Silver,Codemasters,8.0,0.62,0.04,0.02,0.47,0.09,2017-08-25,0.06451612903225806,0.03225806451612903,0.7580645161290323,0.14516129032258063
NBA 2K9,PS3,Sports,2K Sports,Visual Concepts,8.3,0.62,0.56,0.0,0.0,0.05,2008-10-07,0.903225806451613,0.0,0.0,0.08064516129032259
Jak and Daxter: The Lost Frontier,PSP,Platform,Sony Computer Entertainment,High Impact Games,7.5,0.62,0.18,0.0,0.28,0.16,2009-11-03,0.29032258064516125,0.0,0.4516129032258065,0.25806451612903225
Wet,PS3,Shooter,Bethesda Softworks,Artificial Mind and Movement,6.9,0.62,0.22,0.01,0.27,0.11,2009-09-15,0.3548387096774194,0.016129032258064516,0.435483870967742,0.1774193548387097
Dragon Ball Z: Ultimate Tenkaichi,PS3,Fighting,Namco Bandai,Spike,5.0,0.62,0.27,0.09,0.18,0.07,2011-10-25,0.435483870967742,0.14516129032258063,0.29032258064516125,0.11290322580645162
Wild ARMs 3,PS2,Role-Playing,Sony Computer Entertainment,Media.Vision,7.6,0.62,0.16,0.29,0.13,0.04,2002-10-15,0.25806451612903225,0.46774193548387094,0.20967741935483872,0.06451612903225806
World of Final Fantasy,PS4,Role-Playing,Square Enix,Square Enix,6.7,0.62,0.24,0.09,0.21,0.09,2016-10-25,0.3870967741935484,0.14516129032258063,0.3387096774193548,0.14516129032258063
Prince of Persia: The Forgotten Sands,X360,Action,Ubisoft,Ubisoft Montreal,7.5,0.62,0.3,0.0,0.26,0.06,2010-05-18,0.48387096774193544,0.0,0.41935483870967744,0.0967741935483871
Samurai Warriors 2,PS2,Action,KOEI,Omega Force,5.6,0.61,0.02,0.57,0.02,0.01,2006-09-19,0.03278688524590164,0.9344262295081966,0.03278688524590164,0.01639344262295082
New Play Control! Pikmin 2,Wii,Strategy,Nintendo,Nintendo EAD,8.7,0.61,0.11,0.34,0.13,0.02,2012-06-10,0.18032786885245902,0.5573770491803279,0.21311475409836067,0.03278688524590164
Vanquish,PS3,Shooter,Sega,PlatinumGames,8.5,0.61,0.21,0.11,0.22,0.08,2010-10-19,0.3442622950819672,0.18032786885245902,0.36065573770491804,0.13114754098360656
Sacred 2: Fallen Angel,PS3,Role-Playing,CDV Software Entertainment,Ascaron Entertainment,7.1,0.61,0.22,0.08,0.23,0.09,2009-05-11,0.36065573770491804,0.13114754098360656,0.3770491803278689,0.14754098360655737
Final Fantasy IV Advance,GBA,Role-Playing,Square Enix,Square Enix,8.6,0.61,0.27,0.22,0.1,0.01,2005-12-12,0.4426229508196722,0.36065573770491804,0.1639344262295082,0.01639344262295082
PGR3 - Project Gotham Racing 3,X360,Racing,Microsoft Game Studios,Bizarre Creations,8.8,0.6,0.49,0.03,0.03,0.05,2005-11-16,0.8166666666666667,0.05,0.05,0.08333333333333334
Suikoden,PS,Role-Playing,Konami,Konami,8.2,0.6,0.21,0.21,0.14,0.04,1996-12-01,0.35,0.35,0.23333333333333336,0.06666666666666667
Wave Race: Blue Storm,GC,Racing,Nintendo,Nintendo Software Technology Corporation,8.4,0.6,0.4,0.09,0.1,0.02,2001-11-17,0.6666666666666667,0.15,0.16666666666666669,0.03333333333333333
Call of Juarez: Bound in Blood,X360,Shooter,Ubisoft,Techland,7.6,0.6,0.3,0.0,0.24,0.06,2009-06-30,0.5,0.0,0.4,0.1
Final Fantasy Explorers,3DS,Role-Playing,Square Enix,Square Enix,7.3,0.59,0.17,0.29,0.1,0.03,2016-01-26,0.288135593220339,0.4915254237288135,0.16949152542372883,0.05084745762711865
Blur,X360,Racing,Activision,Bizarre Creations,8.3,0.59,0.25,0.0,0.27,0.06,2010-05-25,0.42372881355932207,0.0,0.45762711864406785,0.1016949152542373
WarioWare D.I.Y.,DS,Misc,Nintendo,Intelligent Systems,8.3,0.59,0.17,0.2,0.18,0.04,2010-03-28,0.288135593220339,0.33898305084745767,0.3050847457627119,0.06779661016949153
Harvest Moon: Friends of Mineral Town,GBA,Simulation,Natsume,TOSE Software,7.6,0.59,0.34,0.11,0.13,0.01,2003-11-17,0.576271186440678,0.1864406779661017,0.22033898305084748,0.01694915254237288
Alice: Madness Returns,PS3,Adventure,Electronic Arts,Spicy Horse,6.7,0.59,0.22,0.04,0.24,0.08,2011-06-14,0.3728813559322034,0.06779661016949153,0.4067796610169492,0.13559322033898305
Silent Hill: Shattered Memories,PS2,Adventure,Konami,Climax Group,8.0,0.59,0.13,0.01,0.22,0.23,2010-01-19,0.22033898305084748,0.01694915254237288,0.3728813559322034,0.3898305084745763
Metal Gear Solid V: Ground Zeroes,PS3,Action-Adventure,Konami Digital Entertainment,Kojima Productions,8.5,0.59,0.13,0.28,0.13,0.05,2014-03-18,0.22033898305084748,0.47457627118644075,0.22033898305084748,0.08474576271186442
Kane & Lynch 2: Dog Days,PS3,Shooter,Square Enix,IO Interactive,6.3,0.59,0.17,0.05,0.28,0.1,2010-08-17,0.288135593220339,0.08474576271186442,0.47457627118644075,0.16949152542372883
Dead or Alive Xtreme Beach Volleyball,XB,Sports,Tecmo,Team Ninja,6.6,0.59,0.36,0.14,0.08,0.02,2003-01-22,0.6101694915254238,0.23728813559322037,0.13559322033898305,0.03389830508474576
Madden NFL 06,X360,Sports,EA Sports,EA Tiburon,7.7,0.59,0.54,0.01,0.0,0.03,2005-11-16,0.9152542372881357,0.01694915254237288,0.0,0.05084745762711865
2002 FIFA World Cup,PS2,Sports,EA Sports,EA Canada,7.9,0.59,0.21,0.16,0.17,0.06,2002-04-22,0.3559322033898305,0.2711864406779661,0.288135593220339,0.1016949152542373
Disney Magic World 2,3DS,Simulation,Nintendo,High Horse Entertainment,7.5,0.58,0.07,0.23,0.25,0.02,2016-10-14,0.12068965517241381,0.3965517241379311,0.4310344827586207,0.03448275862068966
Call of Duty: Modern Warfare Remastered,PS4,Shooter,Activision,Infinity Ward,7.9,0.58,0.17,0.03,0.3,0.09,2017-06-27,0.2931034482758621,0.05172413793103448,0.5172413793103449,0.15517241379310345
F1 2013,PS3,Racing,Codemasters,Codemasters Birmingham,7.7,0.58,0.01,0.03,0.47,0.08,2013-10-08,0.01724137931034483,0.05172413793103448,0.810344827586207,0.13793103448275865
LEGO Worlds,NS,Misc,Warner Bros. Interactive Entertainment,Traveller's Tales,5.0,0.58,0.21,0.0,0.33,0.04,2017-09-05,0.3620689655172414,0.0,0.5689655172413793,0.06896551724137932
Disgaea 4: A Promise Unforgotten,PS3,Role-Playing,NIS America,Nippon Ichi Software,7.9,0.58,0.27,0.14,0.11,0.06,2011-09-06,0.4655172413793104,0.24137931034482762,0.18965517241379312,0.10344827586206896
Diablo,PS,Role-Playing,Electronic Arts,Climax Group,8.3,0.58,0.29,0.07,0.19,0.04,1998-01-01,0.5,0.12068965517241381,0.32758620689655177,0.06896551724137932
Final Fantasy: The 4 Heroes of Light,DS,Role-Playing,Square Enix,Matrix Software,7.2,0.58,0.22,0.23,0.1,0.03,2010-10-05,0.37931034482758624,0.3965517241379311,0.1724137931034483,0.05172413793103448
Kirby and the Rainbow Curse,WiiU,Platform,Nintendo,HAL Laboratory,8.2,0.58,0.26,0.13,0.14,0.04,2015-02-20,0.4482758620689656,0.2241379310344828,0.24137931034482762,0.06896551724137932
Tom Clancy's HAWX,X360,Action,Ubisoft,Ubisoft Romania,6.9,0.58,0.31,0.02,0.19,0.06,2009-03-03,0.5344827586206897,0.03448275862068966,0.32758620689655177,0.10344827586206896
International Superstar Soccer '98,N64,Sports,Konami,Konami Computer Entertainment Osaka,9.1,0.58,0.06,0.19,0.3,0.03,1998-09-15,0.10344827586206896,0.32758620689655177,0.5172413793103449,0.05172413793103448
Beyond The Beyond,PS,Role-Playing,Sony Computer Entertainment,Camelot Software Planning,4.8,0.57,0.11,0.35,0.08,0.04,1996-08-31,0.1929824561403509,0.6140350877192983,0.14035087719298248,0.07017543859649124
Resident Evil Outbreak File #2,PS2,Action,Capcom,Capcom Production Studio 1,5.8,0.57,0.19,0.17,0.15,0.05,2005-04-26,0.33333333333333337,0.29824561403508776,0.2631578947368421,0.08771929824561404
BlazBlue: Calamity Trigger,PS3,Fighting,Aksys Games,Arc System Works,8.5,0.57,0.36,0.06,0.1,0.06,2009-06-30,0.6315789473684211,0.10526315789473685,0.1754385964912281,0.10526315789473685
Ultra Street Fighter II: The Final Challengers,NS,Fighting,Capcom,Capcom,7.0,0.57,0.22,0.09,0.22,0.04,2017-05-26,0.3859649122807018,0.15789473684210528,0.3859649122807018,0.07017543859649124
Top Spin 3,PS3,Sports,2K Sports,Pam Development,7.8,0.57,0.08,0.0,0.37,0.12,2008-06-23,0.14035087719298248,0.0,0.6491228070175439,0.2105263157894737
Harvest Moon: The Tale of Two Towns,DS,Simulation,Natsume,Marvelous Interactive,6.3,0.57,0.27,0.22,0.06,0.03,2011-09-20,0.4736842105263159,0.3859649122807018,0.10526315789473685,0.052631578947368425
Harvest Moon: Sunshine Islands,DS,Simulation,Natsume,Marvelous Interactive,9.0,0.57,0.35,0.17,0.03,0.03,2009-11-10,0.6140350877192983,0.29824561403508776,0.052631578947368425,0.052631578947368425
Xenoblade Chronicles,3DS,Role-Playing,Nintendo,Monolith Soft,8.6,0.56,0.24,0.13,0.15,0.04,2015-04-10,0.4285714285714285,0.23214285714285712,0.26785714285714285,0.07142857142857142
Final Fantasy IV: The Complete Collection,PSP,Role-Playing,Square Enix,Matrix Software,8.0,0.56,0.13,0.27,0.09,0.06,2011-04-19,0.23214285714285712,0.48214285714285715,0.1607142857142857,0.10714285714285712
Everybody's Golf,PS4,Sports,Sony Interactive Entertainment,Clap Hanz,8.1,0.56,0.12,0.17,0.22,0.06,2017-08-29,0.21428571428571425,0.30357142857142855,0.39285714285714285,0.10714285714285712
Tetris Party Deluxe,Wii,Puzzle,Majesco,"Tetris Online, Inc",7.3,0.56,0.33,0.02,0.16,0.05,2010-06-01,0.5892857142857143,0.03571428571428571,0.2857142857142857,0.08928571428571429
Tom Clancy's HAWX,PS3,Action,Ubisoft,Ubisoft Romania,7.5,0.56,0.21,0.05,0.22,0.09,2009-03-03,0.37499999999999994,0.08928571428571429,0.39285714285714285,0.1607142857142857
Enslaved: Odyssey to the West,PS3,Action,Namco Bandai,Ninja Theory,7.9,0.56,0.24,0.01,0.23,0.08,2010-10-05,0.4285714285714285,0.017857142857142856,0.4107142857142857,0.14285714285714285
No More Heroes,Wii,Action,Ubisoft,Grasshopper Manufacture,8.2,0.56,0.29,0.04,0.17,0.05,2008-01-22,0.5178571428571428,0.07142857142857142,0.30357142857142855,0.08928571428571429
Resident Evil 2,N64,Action,Capcom,Angel Studios,9.0,0.56,0.39,0.07,0.09,0.01,1999-10-31,0.6964285714285714,0.125,0.1607142857142857,0.017857142857142856
Metroid: Samus Returns,3DS,Action-Adventure,Nintendo,Mercury Steam,9.1,0.56,0.3,0.07,0.15,0.05,2017-09-15,0.5357142857142857,0.125,0.26785714285714285,0.08928571428571429
Breath of Fire IV,PS,Role-Playing,Capcom,Capcom,8.4,0.56,0.11,0.34,0.08,0.04,2000-11-28,0.19642857142857142,0.6071428571428571,0.14285714285714285,0.07142857142857142
Odin Sphere,PS2,Role-Playing,Atlus,Vanillaware,8.0,0.56,0.23,0.09,0.18,0.06,2007-05-22,0.4107142857142857,0.1607142857142857,0.3214285714285714,0.10714285714285712
Metal Gear Solid 3: Subsistence,PS2,Action,Konami,Kojima Productions,9.4,0.55,0.34,0.15,0.01,0.06,2006-03-14,0.6181818181818182,0.2727272727272727,0.01818181818181818,0.10909090909090907
Poochy & Yoshi's Woolly World,3DS,Platform,Nintendo,Good-Feel,7.5,0.55,0.2,0.17,0.16,0.03,2017-02-03,0.36363636363636365,0.3090909090909091,0.2909090909090909,0.054545454545454536
Donkey Kong Jungle Climber,DS,Platform,Nintendo,Paon Corporation,7.8,0.55,0.25,0.24,0.03,0.03,2007-09-10,0.45454545454545453,0.4363636363636363,0.054545454545454536,0.054545454545454536
Project CARS 2,PS4,Racing,Namco Bandai Games,Slightly Mad Studios,8.5,0.55,0.1,0.02,0.35,0.08,2017-09-22,0.18181818181818182,0.03636363636363636,0.6363636363636362,0.14545454545454545
Lunar: Silver Star Story Complete,PS,Role-Playing,Working Designs,Game Arts,7.6,0.55,0.27,0.06,0.18,0.04,1999-05-28,0.4909090909090909,0.10909090909090907,0.3272727272727272,0.07272727272727272
Disgaea 3: Absence of Justice,PS3,Role-Playing,NIS America,Nippon Ichi Software,7.8,0.55,0.36,0.11,0.03,0.05,2008-08-26,0.6545454545454544,0.19999999999999998,0.054545454545454536,0.09090909090909091
Tatsunoko vs. Capcom: Ultimate All-Stars,Wii,Fighting,Capcom,Eighting,8.3,0.54,0.3,0.03,0.16,0.05,2010-01-26,0.5555555555555555,0.05555555555555555,0.2962962962962963,0.09259259259259259
Dragon Ball Z: Ultimate Tenkaichi,X360,Fighting,Namco Bandai,Spike,6.0,0.54,0.39,0.01,0.1,0.05,2011-10-25,0.7222222222222222,0.018518518518518517,0.18518518518518517,0.09259259259259259
Tactics Ogre: Let Us Cling Together,PSP,Role-Playing,Square Enix,Square Enix,9.0,0.54,0.15,0.27,0.07,0.05,2011-02-15,0.27777777777777773,0.5,0.12962962962962962,0.09259259259259259
METRO 2033,X360,Shooter,THQ,4a-games,7.4,0.54,0.22,0.03,0.23,0.05,2010-03-16,0.4074074074074074,0.05555555555555555,0.42592592592592593,0.09259259259259259
Time Crisis: Razing Storm,PS3,Shooter,Namco Bandai,Nex Entertainment,5.8,0.54,0.18,0.07,0.21,0.08,2010-10-19,0.3333333333333333,0.12962962962962962,0.38888888888888884,0.14814814814814814
Sacred 2: Fallen Angel,X360,Role-Playing,CDV Software Entertainment,Ascaron Entertainment,7.0,0.54,0.29,0.04,0.16,0.05,2009-05-11,0.537037037037037,0.07407407407407407,0.2962962962962963,0.09259259259259259
Dragon Ball: Fusions,3DS,Role-Playing,Namco Bandai Games,Ganbarion,6.3,0.54,0.17,0.24,0.09,0.03,2016-11-22,0.3148148148148148,0.4444444444444444,0.16666666666666666,0.05555555555555555
Mario Tennis Ultra Smash,WiiU,Sports,Nintendo,Camelot Software Planning,6.1,0.54,0.16,0.15,0.2,0.03,2015-11-20,0.2962962962962963,0.27777777777777773,0.37037037037037035,0.05555555555555555
NBA Live 10,PS3,Sports,EA Sports,EA Canada,7.9,0.54,0.46,0.01,0.03,0.05,2009-10-06,0.8518518518518519,0.018518518518518517,0.05555555555555555,0.09259259259259259
Hotel Dusk: Room 215,DS,Adventure,Nintendo,Cing,8.0,0.54,0.26,0.22,0.04,0.03,2007-01-22,0.48148148148148145,0.4074074074074074,0.07407407407407407,0.05555555555555555
Bulletstorm,PS3,Shooter,Electronic Arts,People Can Fly,8.4,0.54,0.24,0.01,0.2,0.09,2011-02-22,0.4444444444444444,0.018518518518518517,0.37037037037037035,0.16666666666666666
Dynasty Warriors: Gundam 3,PS3,Action,Tecmo Koei,Omega Force,6.5,0.54,0.11,0.36,0.05,0.02,2011-06-28,0.2037037037037037,0.6666666666666666,0.09259259259259259,0.037037037037037035
Enslaved: Odyssey to the West,X360,Action,Namco Bandai,Ninja Theory,8.0,0.54,0.3,0.0,0.19,0.05,2010-10-05,0.5555555555555555,0.0,0.35185185185185186,0.09259259259259259
ModNation Racers,PSP,Racing,Sony Computer Entertainment,SCE San Diego Studio,7.7,0.54,0.11,0.02,0.27,0.14,2010-05-25,0.2037037037037037,0.037037037037037035,0.5,0.25925925925925924
Bust A Groove,PS,Misc,989 Studios,Metro,7.7,0.54,0.09,0.35,0.06,0.04,1998-10-31,0.16666666666666666,0.648148148148148,0.1111111111111111,0.07407407407407407
Valkyria Chronicles II,PSP,Role-Playing,Sega,Sega WOW Overworks,8.1,0.54,0.12,0.18,0.16,0.09,2010-08-31,0.2222222222222222,0.3333333333333333,0.2962962962962963,0.16666666666666666
Two Worlds II,X360,Role-Playing,SouthPeak Interactive,Reality Pump,6.5,0.54,0.4,0.03,0.07,0.04,2011-01-25,0.7407407407407407,0.05555555555555555,0.12962962962962962,0.07407407407407407
Fire Emblem: Path of Radiance,GC,Role-Playing,Nintendo,Intelligent Systems,8.6,0.54,0.29,0.16,0.08,0.01,2005-10-17,0.537037037037037,0.2962962962962963,0.14814814814814814,0.018518518518518517
Terminator Salvation,PS3,Shooter,Warner Bros. Interactive,GRIN,5.0,0.53,0.13,0.01,0.29,0.1,2009-05-19,0.24528301886792453,0.018867924528301886,0.5471698113207547,0.18867924528301888
Star Fox Command,DS,Shooter,Nintendo,Nintendo EAD / Q-Games,7.2,0.53,0.38,0.1,0.01,0.04,2006-08-28,0.7169811320754716,0.18867924528301888,0.018867924528301886,0.07547169811320754
Excite Truck,Wii,Racing,Nintendo,Monster Games Inc.,7.0,0.53,0.39,0.08,0.03,0.04,2006-11-19,0.7358490566037735,0.1509433962264151,0.056603773584905655,0.07547169811320754
Sonic & Sega All-Stars Racing Transformed,WiiU,Racing,Sega,Sumo Digital,6.9,0.53,0.19,0.02,0.28,0.04,2012-11-18,0.3584905660377358,0.03773584905660377,0.5283018867924528,0.07547169811320754
F1 2018,PS4,Racing,Codemasters,Codemasters Birmingham,8.9,0.53,0.05,0.01,0.39,0.08,2018-08-24,0.09433962264150944,0.018867924528301886,0.7358490566037735,0.1509433962264151
Clock Tower,PS,Adventure,ASCII Entertainment,Human Entertainment,6.1,0.53,0.07,0.38,0.05,0.03,1997-09-30,0.1320754716981132,0.7169811320754716,0.09433962264150944,0.056603773584905655
Phoenix Wright: Ace Attorney - Justice for All,DS,Adventure,Capcom,Capcom,7.6,0.53,0.21,0.26,0.04,0.03,2007-01-16,0.3962264150943396,0.49056603773584906,0.07547169811320754,0.056603773584905655
Rune Factory: A Fantasy Harvest Moon,DS,Role-Playing,Natsume,Neverland Company,8.1,0.53,0.35,0.14,0.01,0.03,2007-08-14,0.660377358490566,0.2641509433962264,0.018867924528301886,0.056603773584905655
